3
0.15178297,0.45183287
0.48931421,0.53360532
0.17047557,0.92609446
4
18,3
0,0.34826545,0.26901183
2,0.23472722,0.75731995
1,0.76718491,0.72117141
2,0.71667111,0.86775064
1,0.91930316,0.57378343
0,0.34465711,0.16559232
2,0.45694569,0.93976336
0,0.27602388,0.15033973
1,0.5621951,0.47344343
0,0.2351051,0.32553664
1,0.90321304,0.00404272
2,0.56329561,0.70439465
2,0.46413222,0.81503074
1,0.78152065,0.32789035
0,0.02914436,0.15852822
1,0.83491808,0.40419595
0,0.05004779,0.45394957
1,0.62198933,0.05989368
